ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778121585043189900,315.0,80998.88,80998.87,80998.88,0.9240,0.9270,0.9255,80916.97,KXBTC15M-26MAY062245-45
1778121586046046300,314.0,80999.00,80998.99,80999.00,0.9240,0.9270,0.9255,80916.97,KXBTC15M-26MAY062245-45
1778121587048720800,313.0,80999.00,80998.99,80999.00,0.9240,0.9270,0.9255,80916.97,KXBTC15M-26MAY062245-45
1778121588059492100,311.9,80999.00,80998.99,80999.00,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121589067839300,310.9,80999.00,80998.99,80999.00,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121590083088800,309.9,80992.74,80992.74,80992.75,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121591090636400,308.9,80992.74,80992.74,80992.75,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121592094825800,307.9,80992.74,80992.74,80992.75,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121593102968500,306.9,80980.46,80980.46,80980.47,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121594110846700,305.9,80980.46,80980.46,80980.47,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121595118336900,304.9,80980.46,80980.46,80980.47,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121596123888000,303.9,80980.46,80980.46,80980.47,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121597134813400,302.9,80971.25,80971.25,80971.26,0.9430,0.9500,0.9465,80916.97,KXBTC15M-26MAY062245-45
1778121598139067900,301.9,80968.18,80968.18,80968.19,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121599142754900,300.9,80968.18,80968.18,80968.19,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121600149794200,299.9,80968.18,80968.18,80968.19,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121601152086900,298.8,80973.80,80973.80,80973.81,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121602156857800,297.8,80973.81,80973.80,80973.81,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121603159117300,296.8,80968.53,80968.04,80968.73,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121604162944300,295.8,80969.41,80969.40,80969.41,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121605169136900,294.8,80969.41,80969.40,80969.41,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121606176712500,293.8,80969.41,80969.40,80969.41,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121607183389100,292.8,80969.41,80969.40,80969.41,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121608187998600,291.8,80969.41,80969.40,80969.41,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121609189359100,290.8,80969.41,80969.40,80969.41,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121610200454700,289.8,80969.41,80969.40,80969.41,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121611206015000,288.8,80969.41,80969.40,80969.41,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121612213002700,287.8,80968.18,80968.18,80968.19,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121613217584600,286.8,80968.18,80968.18,80968.19,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121614220135000,285.8,80968.18,80968.18,80968.19,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121615226697600,284.8,80968.18,80968.18,80968.19,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121616229430300,283.8,80968.18,80968.18,80968.19,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121617242379200,282.8,80968.18,80968.18,80968.19,0.9020,0.9030,0.9025,80916.97,KXBTC15M-26MAY062245-45
1778121618245340800,281.8,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121619248720600,280.8,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121620252537400,279.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121621255359100,278.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121622260492100,277.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121623261370400,276.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121624263863700,275.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121625269116600,274.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121626269992500,273.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121627283195200,272.7,80968.18,80968.18,80968.19,0.8800,0.9000,0.8900,80916.97,KXBTC15M-26MAY062245-45
1778121628287679100,271.7,80969.41,80969.40,80969.41,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121629288358700,270.7,80969.41,80969.40,80969.41,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121630293147600,269.7,80973.00,80972.99,80973.00,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121631301866900,268.7,80980.33,80980.33,80980.34,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121632303092000,267.7,80980.34,80980.33,80980.34,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121633315177200,266.7,80971.45,80971.06,80973.04,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121634322406900,265.7,80969.90,80969.90,80969.91,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121635338974100,264.7,80969.90,80969.90,80969.91,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121636345214600,263.7,80969.90,80969.90,80969.91,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121637353978700,262.6,80969.90,80969.90,80969.91,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121638354674000,261.6,80965.11,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121639365477100,260.6,80965.11,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121640369012900,259.6,80965.12,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121641372471000,258.6,80965.11,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121642376430900,257.6,80965.12,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121643378542700,256.6,80965.12,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121644384359300,255.6,80965.12,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121645385370800,254.6,80965.12,80965.11,80965.12,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121646392195100,253.6,80973.65,80973.60,80976.00,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121647398444600,252.6,80976.00,80975.99,80976.00,0.8800,0.8900,0.8850,80916.97,KXBTC15M-26MAY062245-45
1778121648403499200,251.6,80975.99,80975.99,80976.00,0.9240,0.9290,0.9265,80916.97,KXBTC15M-26MAY062245-45
1778121649410282500,250.6,80975.99,80975.99,80976.00,0.9240,0.9290,0.9265,80916.97,KXBTC15M-26MAY062245-45
1778121650417345600,249.6,80975.99,80975.99,80976.00,0.9240,0.9290,0.9265,80916.97,KXBTC15M-26MAY062245-45
1778121651422521800,248.6,80975.99,80975.99,80976.00,0.9240,0.9290,0.9265,80916.97,KXBTC15M-26MAY062245-45
1778121652427752200,247.6,80975.99,80975.99,80976.00,0.9240,0.9290,0.9265,80916.97,KXBTC15M-26MAY062245-45
1778121653432045900,246.6,80975.99,80975.99,80976.00,0.9240,0.9290,0.9265,80916.97,KXBTC15M-26MAY062245-45
