ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,cb_microprice,bn_microprice,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778131864149933700,835.9,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864259150200,835.7,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864367718000,835.6,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864478666100,835.5,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864587175500,835.4,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864696391900,835.3,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864807769900,835.2,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131864916929000,835.1,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865027258800,835.0,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865136435900,834.9,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865245684200,834.8,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865354864100,834.6,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865463782900,834.5,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865573123500,834.4,81127.02,81127.01,81127.02,81127.02,81127.02,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865679733800,834.3,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865791312900,834.2,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131865897262400,834.1,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866007398900,834.0,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866115312800,833.9,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866223928600,833.8,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866332775200,833.7,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866438663800,833.6,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866550246600,833.4,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866660495400,833.3,81127.35,81127.34,81127.35,81127.35,81127.35,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866768813300,833.2,81130.07,81129.29,81130.99,81130.07,81130.07,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866878209500,833.1,81130.07,81129.29,81130.99,81130.07,81130.07,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131866988610400,833.0,81130.90,81130.24,81131.99,81130.90,81130.90,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131867096501100,832.9,81130.90,81130.24,81131.99,81130.90,81130.90,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131867204095900,832.8,81130.74,81130.26,81130.99,81130.74,81130.74,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131867313394300,832.7,81130.74,81130.26,81130.99,81130.74,81130.74,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
1778131867421185100,832.6,81130.74,81130.26,81130.99,81130.74,81130.74,0.5900,0.6100,0.6000,81105.82,KXBTC15M-26MAY070145-45
